SimaPro 9.5.0.1	Inventory	Date:	31/07/2023	Time:	11:54:34
Project	Doris_Thesis


Calculation: 	Compare
Results: 	Inventory
Product 1: 	1 kg white rice cooked, at household {CH} (of project Doris_Thesis)
Product 2: 	1 kg white rice cooked, at household {CN} (of project Doris_Thesis)
Product 3: 	1 kg white rice cooked, at household {IN} (of project Doris_Thesis)
Method: 	ReCiPe 2016 Midpoint (H) V1.08 / World (2010) H
Indicator: 	Inventory
Compartment: 	All compartments
Per sub-compartment: 	Yes
Default units: 	Yes
Exclude infrastructure processes: 	No
Exclude long-term emissions: 	No
Sorted on item: 	Substance
Sort order: 	Ascending

No	Substance	Compartment	Subcompartment	Unit	white rice cooked, at household {CH}	white rice cooked, at household {CN}	white rice cooked, at household {IN}
104	Aldehydes, unspecified	Air		kg	2.8220562E-11	3.7975814E-11	3.3815548E-11
105	Aldehydes, unspecified	Air	high. pop.	kg	9.8628139E-10	3.4421047E-10	3.9110583E-10
106	Aldehydes, unspecified	Air	low. pop.	kg	1.6994451E-8	4.3247633E-8	2.2976303E-8
107	Aldicarb	Soil	agricultural	kg	2.7310155E-9	2.7273224E-9	2.7701707E-9
108	Aldrin	Soil	agricultural	kg	1.0274026E-8	1.5217134E-9	2.1093628E-8
109	Alkylbenzene (C10-C15)	Air	low. pop.	kg	6.2934943E-11	3.9407399E-11	4.690841E-11
110	Alkylbenzene (C10-C15)	Soil	agricultural	kg	4.7981425E-10	3.0044091E-10	3.5762841E-10
111	Alkylbenzene (C10-C15)	Soil	forestry	kg	1.3383072E-12	8.3799562E-13	9.9750411E-13
112	Allyl chloride	Water		kg	2.9104198E-10	6.2340416E-10	6.2194756E-10
113	Alpha-cypermethrin	Air	low. pop.	kg	7.1732537E-12	4.4916108E-12	5.3465676E-12
114	Alpha-cypermethrin	Water		kg	1.0985326E-14	6.8785811E-15	8.1878864E-15
115	Alpha-cypermethrin	Soil	agricultural	kg	2.6042435E-9	2.5894878E-9	2.5900818E-9
116	Alpha-cypermethrin	Soil	forestry	kg	2.0372041E-13	1.2756175E-13	1.5184252E-13
117	Aluminium	Raw	in ground	kg	0.00072490572	0.00030023395	0.00032682014
118	Aluminium (III)	Air		kg	3.8260922E-5	2.8463402E-5	5.8062523E-5
119	Aluminium (III)	Air	high. pop.	kg	9.483272E-6	7.1761837E-6	6.9072226E-6
120	Aluminium (III)	Air	low. pop.	kg	1.1933395E-7	3.1421857E-7	2.7783202E-7
121	Aluminium (III)	Air	low. pop., long-term	kg	1.2299337E-6	7.0991424E-7	4.611269E-7
122	Aluminium (III)	Water		kg	4.4938497E-8	3.5272041E-8	3.3669032E-8
123	Aluminium (III)	Water	groundwater	kg	1.7313367E-6	1.4462469E-6	1.5719191E-6
124	Aluminium (III)	Water	groundwater, long-term	kg	0.0023804011	0.0025606714	0.0022127003
125	Aluminium (III)	Water	ocean	kg	2.8093894E-6	1.0801382E-6	1.0595323E-6
126	Aluminium (III)	Water	river	kg	1.4841284E-6	2.4851071E-6	1.44305E-6
127	Aluminium (III)	Soil		kg	9.834102E-6	5.105974E-5	1.0317939E-5
128	Aluminium (III)	Soil	agricultural	kg	4.6780013E-6	3.5491822E-6	3.8194912E-6
129	Aluminium (III)	Soil	industrial	kg	1.6129058E-5	1.066898E-5	9.8040687E-6
130	Aluminium hydroxide	Water		kg	6.7995506E-13	5.8781515E-13	5.243803E-13
131	Ametryn	Soil	agricultural	kg	1.9749402E-11	2.4883013E-12	1.8575351E-12
132	Amidosulfuron	Soil	agricultural	kg	8.0420141E-14	2.3173557E-14	2.1434329E-14
133	Ammonia	Air		kg	2.4014932E-5	1.6101505E-5	2.7432739E-5
134	Ammonia	Air	high. pop.	kg	4.8102004E-5	0.0059762278	0.0060629471
135	Ammonia	Air	low. pop.	kg	0.0012493781	7.3902826E-6	6.8391026E-6
